iter	RMSE
0	10.57762429
1	9.86676151
2	9.234623432
3	8.623640118
4	8.135996436
5	7.69875919
6	7.280886472
7	6.910132911
8	6.604603234
9	6.319561415
10	6.068320164
11	5.843683525
12	5.643673895
13	5.456791426
14	5.274124596
15	5.133500756
16	5.013087544
17	4.890509308
18	4.786315145
19	4.686994194
20	4.6060123
21	4.532661046
22	4.459377348
23	4.401153992
24	4.337550379
25	4.28340178
26	4.234450958
27	4.187771141
28	4.150131643
29	4.090069834
30	4.053562544
31	4.016743572
32	3.981205109
33	3.950732022
34	3.923147602
35	3.883472709
36	3.855010298
37	3.817155525
38	3.795752705
39	3.777011746
40	3.74543171
41	3.729302299
42	3.713997061
43	3.696128528
44	3.669379772
45	3.660671422
46	3.63473753
47	3.624092201
48	3.607251277
49	3.595539241
50	3.58111821
51	3.551592703
52	3.536159384
53	3.519906246
54	3.499709262
55	3.493695637
56	3.466428922
57	3.454310671
58	3.434574379
59	3.421387101
60	3.406443729
61	3.383857383
62	3.374722056
63	3.366737746
64	3.357620188
65	3.34865846
66	3.332450221
67	3.304924402
68	3.287965732
69	3.260374588
70	3.250610794
71	3.23743018
72	3.224853985
73	3.220226821
74	3.197674461
75	3.190707968
76	3.178485121
77	3.163554603
78	3.153600514
79	3.134969911
80	3.122073286
81	3.11024317
82	3.099463426
83	3.092252179
84	3.079130584
85	3.059595399
86	3.047759932
87	3.030360012
88	3.016511019
89	3.003623396
90	2.993414425
91	2.973558435
92	2.967020407
93	2.957600076
94	2.950414679
95	2.944913645
96	2.936859908
97	2.928411877
98	2.920349933
99	2.912525744
