iter	Passed	Remaining
0	3	304
1	6	304
2	9	292
3	11	284
4	14	276
5	17	269
6	21	281
7	23	275
8	26	270
9	29	265
10	32	261
11	36	265
12	38	257
13	40	249
14	42	242
15	44	234
16	46	226
17	48	219
18	50	214
19	52	208
20	53	202
21	55	197
22	57	191
23	58	186
24	60	181
25	62	176
26	63	171
27	65	167
28	67	165
29	69	161
30	70	157
31	72	154
32	74	150
33	75	146
34	77	143
35	78	139
36	80	136
37	82	134
38	83	131
39	85	128
40	86	125
41	88	122
42	89	119
43	91	116
44	93	113
45	94	110
46	96	108
47	98	106
48	99	103
49	101	101
50	102	98
51	104	96
52	105	93
53	107	91
54	108	88
55	110	86
56	111	84
57	113	82
58	115	80
59	116	77
60	118	75
61	119	73
62	121	71
63	122	69
64	124	66
65	126	64
66	127	62
67	129	61
68	131	59
69	133	57
70	134	54
71	136	52
72	137	50
73	139	48
74	140	46
75	142	44
76	143	42
77	145	41
78	147	39
79	148	37
80	150	35
81	151	33
82	153	31
83	154	29
84	156	27
85	157	25
86	159	23
87	160	21
88	162	20
89	164	18
90	165	16
91	167	14
92	168	12
93	170	10
94	171	9
95	173	7
96	174	5
97	175	3
98	178	1
99	180	0
